63463,46217,39.77,-86.14
47874,85202,33.38,-111.87
51789,46615,41.67,-86.26
47933,85202,33.38,-111.87
1280665,55407,44.96,-93.26
1551,2445,42.32,-71.14
1575,44053,41.44,-82.18
1755360,19083,39.97,-75.31
1578,12514,41.87,-73.76
27024,19083,39.97,-75.31
1066957,46205,39.77,-86.14
1581,12514,41.87,-73.76
36710,17055,40.21,-77
1749465,2130,42.3,-71.11
49359,47374,39.82,-84.88
45832,11238,40.64,-73.94
1608,48103,42.27,-83.73
15982,19713,39.67,-75.75
49283,55406,44.96,-93.26
1618,40207,38.22,-85.74
1620,40207,38.22,-85.74
1414784,28405,34.21,-77.91
5533,41017,39.02,-84.56
1633,43214,39.98,-82.98
35978,39206,32.32,-90.2
25382,20901,39.01,-77.02
56598,37701,35.79,-83.97
37694,37209,36.17,-86.78
1676,15864,41.11,-79.18
1678,21037,38.9,-76.54
51288,47374,39.82,-84.88
1681,46077,39.95,-86.27
1689,2543,41.52,-70.66
1691,46077,39.95,-86.27
69616,99707,64.83,-147.69
48172,60201,42.04,-87.68
1527793,47408,39.16,-86.52
1705,32207,30.33,-81.65
1177694,55104,44.94,-93.1
1724,8753,39.95,-74.18
1729,12550,41.5,-74.02
1734,1027,42.26,-72.68
55602,1002,42.37,-72.52
1736,85249,33.24,-111.78
18904,43016,40.11,-83.13
1175503,47408,39.16,-86.52
1745,92625,33.6,-117.86
1747,74104,36.12,-95.91
1749,96817,21.3,-157.85
1750,96817,21.3,-157.85
1254052,47909,40.41,-86.87
1007826,20910,39.01,-77.02
2428000,47441,39.03,-87.15
1758,47374,39.82,-84.88
1770,46220,39.77,-86.14
2037349,1060,42.32,-72.67
1012648,53703,43.07,-89.38
1585811,45177,39.44,-83.83
1577221,2144,42.39,-71.1
1812,93313,35.15,-119.06
1315850,87501,35.67,-105.95
1809,87505,35.67,-105.95
1821,20912,38.98,-77
37748,60201,42.04,-87.68
1130638,47374,39.82,-84.88
29005,16801,40.79,-77.85
11077,95691,38.66,-121.62
49518,3903,43.15,-70.8
1851,33140,25.77,-80.2
